Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
46          0.18        0.62        2.00        10          5            6 40 69 19 76
47          0.38        0.67        0.00        0           5            53 14 11 12 7
48          0.29        0.59        1.00        5           5            20 13 45 2 35
49          0.23        0.75        1.40        7           5            69 37 15 52 28
50          0.33        0.65        0.60        3           5            35 86 79 23 34
51          0.31        0.62        0.80        4           5            7 32 63 18 9
52          0.18        0.64        4.80        24          5            39 28 66 69 76
53          0.27        0.67        1.60        8           5            38 32 52 80 70
54          0.29        0.72        1.40        7           5            62 29 68 4 94
55          0.41        0.79        0.00        0           5            78 2 48 28 25
56          0.31        0.64        0.20        1           5            74 53 80 7 41
57          0.25        0.68        1.00        5           5            66 52 70 1 31
58          0.26        0.64        1.00        5           5            10 45 14 52 9
59          0.39        0.75        0.40        2           5            93 44 11 83 86
60          0.27        0.68        0.80        4           5            30 12 67 25 41
61          0.23        0.66        0.80        4           5            0 98 16 94 90
62          0.27        0.75        1.40        7           5            54 95 75 18 74
63          0.26        0.69        1.00        5           5            32 38 95 7 12
64          0.24        0.66        1.00        5           5            69 66 76 11 80
65          0.32        0.69        0.00        0           5            16 19 6 81 53
66          0.24        0.65        1.80        9           5            52 70 57 64 76
67          0.26        0.72        1.00        5           5            39 94 60 1 28
68          0.30        0.67        0.80        4           5            36 5 54 87 81
69          0.21        0.69        2.20        11          5            46 52 15 49 64
70          0.28        0.66        1.00        5           5            66 57 1 53 52
71          0.30        0.64        0.40        2           5            16 33 0 81 61
72          0.33        0.75        0.80        4           5            75 54 62 44 4
73          0.34        0.69        0.00        0           5            1 35 60 86 57
74          0.29        0.63        1.20        6           5            62 0 56 94 88
75          0.25        0.70        1.60        8           5            72 91 44 13 62
76          0.23        0.63        2.00        10          5            52 46 39 31 98
77          0.27        0.61        0.80        4           5            98 23 39 90 16
78          0.35        0.69        0.40        2           5            53 5 48 2 70
79          0.28        0.69        0.80        4           5            86 1 10 67 31
80          0.26        0.67        0.80        4           5            12 66 64 69 53
81          0.25        0.68        1.20        6           5            46 6 19 16 40
82          0.29        0.66        0.20        1           5            11 15 14 97 69
83          0.33        0.70        0.40        2           5            84 91 94 13 74
84          0.22        0.61        2.00        10          5            90 91 98 13 39
85          0.35        0.68        0.00        0           5            45 49 20 83 28
86          0.27        0.70        1.80        9           5            79 35 10 23 45
87          0.34        0.69        0.60        3           5            5 68 36 32 4
88          0.33        0.65        0.20        1           5            32 19 74 97 15
89          0.27        0.62        0.40        2           5            91 39 76 90 98
90          0.19        0.63        3.20        16          5            98 91 16 84 0
91          0.20        0.62        2.20        11          5            90 98 84 89 75
92          0.34        0.75        0.00        0           5            16 71 26 50 40
93          0.35        0.68        0.40        2           5            33 16 59 61 98
94          0.25        0.61        1.20        6           5            61 67 0 98 39
95          0.35        0.79        0.60        3           5            62 63 29 11 54
96          0.31        0.63        0.20        1           5            69 16 45 90 24
97          0.23        0.62        1.20        6           5            39 32 52 46 69
98          0.20        0.63        2.80        14          5            90 39 91 16 46
99          0.40        0.75        0.00        0           5            72 7 51 50 42
